	Aachen	Adorf	Ahrbergen	Albersloh	Allna	Altenberg	Altentrüdingen	Altlandsberg	Altwarp	Astfeld	Atzendorf	Bardenfleth	Barßel	Bempflingen	Bennin	Benzingerode	Billingsbach	Bockelwitz	Bonn	Borstendorf	Breddin	Brelingen	Bremscheid	Brockhausen	Bruch	Burgrieden	Büdesheim	Clausthal	Cursdorf	Dexbach	Diekhusen	Dreeke	Ebertshausen	Ebstorf	Eichenhofen	Einöllen	Eisenbach	Endenburg-Lehnacker	Engelsbach	Engter	Ensheim	Eschelbronn	Eversen	Exdorf	Falkenthal	Freden	Frohnhausen	Gelting	Gerbstedt	Gersdorf	Gornsdorf	Gottsbüren	Gresenhorst	Groß Ballhausen	Groß Jamno	Groß Mohrdorf	Großwechsungen	Großenwiehe	Grünlichtenberg	Grünow	Götz	Haddorf	Hagen	Hammah	Hartenfels	Hartenstein	Helmers	Herbornseelbach	Herdecke	Hermannsreuth	Hermeskeil	Herrentrup	Herßum	Herzfeld	Hesselteich	Hohenkörben	Hohwacht	Holmkjer	Horheim	Huddestorf	Hundisburg	Höchstädt	Hönebach	Iggingen	Igling	Iversheim	Jacobsdorf	Jeetzel	Jesteburg	Jever	Jonsdorf	Jürgenshagen	Kemmern	Kirch Kogel	Klafferstraß	Klein Rossau	Kleinbottwar	Kruft	Kuhstedt	Köln	Lampertswalde	Landgrafroda	Langenbruck	Leuth	Linz	Lippen	Lippramsdorf	Lohra	Lohrhaupten	Maibrunn	Mastershausen	Maxweiler	Mirow	Mockern	Mörshausen	Neu Schadow	Niederasphe	Niederauerbach	Niedernhausen	Nürnberg	Oberau	Oberhomberg	Obermaiselstein	Oberviehbach	Oberwürzbach	Odenspiel	Offdilln	Ohrdorf	Oiste	Orferode	Osterbruch	Osterfeld	Osterhagen	Ottowind	Peterskirchen	Pfaffenrot	Pielenhofen	Pretzsch	Pöttmes	Rammenau	Ramsau	Reelkirchen	Reetz	Ringgau-Röhrda	Rosenthal	Roßwein	Ruhlsdorf	Schachach	Schauenstein	Schellroda	Schmannewitz	Schnepfenbach	Schraden	Schwabstedt	Schömberg	Schönbeck	Seelbach	Siebenbach	Stöcken	Tann	Theuma	Treffelstein	Ulbering	Ungstein	Unterellen	Valdorf	Verchen	Vielbrunn	Vietmannsdorf	Volkershausen	Wangerooge	Warpe	Wasbek	Wasbüttel	Wehrsdorf	Weidenbach	Wemb	Wentorf	Weyhers	Wieda	Wildpoldsried	Winterspelt	Wittelsberg	Wolgast	Wüllen	Zellingen
Jacobsdorf	0.219178	0.208125	0.192507	0.21402	0.218446	0.203868	0.232033	0.183506	0.199454	0.193603	0.172659	0.213219	0.195833	0.22074	0.214797	0.191677	0.231365	0.196619	0.217676	0.224753	0.195673	0.210232	0.220398	0.211846	0.20449	0.214016	0.217192	0.207998	0.215173	0.20184	0.228462	0.20524	0.221349	0.216082	0.243538	0.216251	0.21136	0.236171	0.199476	0.20656	0.22207	0.215587	0.205328	0.222339	0.188657	0.197458	0.204423	0.24456	0.198936	0.194812	0.225241	0.204029	0.213737	0.215581	0.185688	0.203627	0.207685	0.216508	0.189652	0.19065	0.14691	0.220846	0.203044	0.210929	0.208096	0.222385	0.22881	0.218863	0.208358	0.248111	0.205424	0.223427	0.195639	0.219819	0.223645	0.206611	0.208299	0.205875	0.224553	0.206445	0.185099	0.221344	0.209094	0.21881	0.226628	0.237407	0	0.213725	0.213096	0.213759	0.205098	0.216774	0.222447	0.21872	0.230187	0.208962	0.240079	0.216019	0.200708	0.201946	0.192537	0.19334	0.232758	0.222453	0.184025	0.179423	0.209382	0.217297	0.212759	0.24672	0.210559	0.224372	0.206218	0.206568	0.18726	0.186576	0.198076	0.204435	0.208499	0.212084	0.239918	0.228712	0.247304	0.232463	0.211699	0.210107	0.223255	0.216678	0.207207	0.208978	0.220752	0.21269	0.20307	0.222668	0.230918	0.227623	0.230513	0.17484	0.244343	0.197735	0.243341	0.208356	0.155187	0.201363	0.196558	0.199839	0.161125	0.22616	0.218465	0.202396	0.198192	0.223098	0.202704	0.210597	0.222039	0.206992	0.229387	0.2191	0.202719	0.217873	0.215263	0.224751	0.226384	0.223451	0.188039	0.216235	0.218482	0.221282	0.187433	0.228003	0.202188	0.194268	0.216502	0.187736	0.209376	0.216913	0.219428	0.219691	0.223821	0.196659	0.22025	0.221546	0.221625	0.18791	0.207071	0.230353
Jeetzel	0.23185	0.218479	0.201706	0.191566	0.235502	0.237465	0.235379	0.214876	0.18585	0.215748	0.209099	0.193219	0.180442	0.2314	0.177591	0.210786	0.239484	0.223058	0.2351	0.239722	0.179132	0.204214	0.228636	0.205504	0.220936	0.240182	0.23074	0.226465	0.241336	0.235358	0.189021	0.191986	0.24821	0.190816	0.232103	0.233175	0.222988	0.230638	0.215703	0.210459	0.228729	0.220759	0.17908	0.247494	0.207635	0.203949	0.23349	0.24647	0.247055	0.227319	0.245421	0.200411	0.182359	0.234403	0.225814	0.181745	0.2424	0.175511	0.217673	0.186184	0.214925	0.206807	0.188233	0.175934	0.220697	0.223409	0.230814	0.228087	0.201752	0.236224	0.225288	0.218642	0.190988	0.185549	0.212929	0.201295	0.172549	0.173207	0.227923	0.202455	0.200754	0.2279	0.212903	0.225482	0.232544	0.242794	0.213725	0	0.172843	0.178729	0.244149	0.185481	0.221751	0.174516	0.231823	0.196226	0.246461	0.230483	0.173065	0.218058	0.222463	0.234772	0.232881	0.245472	0.22553	0.220431	0.213086	0.234458	0.228173	0.256142	0.223481	0.23717	0.196764	0.24634	0.228309	0.229798	0.234338	0.227542	0.210013	0.224169	0.240252	0.236218	0.24742	0.236367	0.230066	0.232722	0.224059	0.170639	0.178582	0.234035	0.18692	0.251503	0.209369	0.223185	0.225957	0.232923	0.228265	0.229027	0.249023	0.23941	0.249099	0.218492	0.217737	0.213782	0.227597	0.230902	0.207103	0.230247	0.229136	0.235971	0.227471	0.232997	0.234708	0.167857	0.238994	0.176652	0.231572	0.234119	0.172884	0.229073	0.234497	0.221142	0.230343	0.239891	0.220557	0.21553	0.197576	0.226337	0.192638	0.243931	0.182235	0.193676	0.186094	0.182901	0.238981	0.21508	0.232696	0.157062	0.234166	0.22484	0.245816	0.232611	0.236331	0.170391	0.211083	0.231048
Jesteburg	0.220916	0.205657	0.191473	0.178947	0.223755	0.22687	0.234654	0.21197	0.181939	0.211155	0.205493	0.184162	0.177894	0.221716	0.172166	0.208066	0.22943	0.218676	0.217955	0.22597	0.181563	0.186443	0.221926	0.201244	0.212671	0.221068	0.22276	0.216276	0.236881	0.227839	0.176886	0.182535	0.239625	0.166713	0.233078	0.230467	0.215798	0.232397	0.210342	0.194553	0.225591	0.21743	0.157695	0.235748	0.190109	0.193576	0.22458	0.236772	0.243662	0.214477	0.238359	0.20629	0.180003	0.226447	0.217315	0.169552	0.223155	0.172096	0.215227	0.198224	0.197928	0.181136	0.178141	0.151877	0.207484	0.209232	0.232481	0.2252	0.187647	0.233525	0.224278	0.213198	0.162005	0.181315	0.205181	0.194439	0.167735	0.161447	0.227083	0.201345	0.20326	0.215804	0.20573	0.219643	0.218881	0.231861	0.213096	0.172843	0	0.166535	0.233814	0.176558	0.214397	0.178844	0.221492	0.198079	0.243861	0.22412	0.138269	0.220236	0.229385	0.2299	0.22498	0.229849	0.21764	0.217774	0.182127	0.224345	0.220435	0.244156	0.211384	0.220767	0.189999	0.238978	0.212838	0.228606	0.228985	0.218235	0.212372	0.20994	0.233979	0.225389	0.245846	0.226543	0.229049	0.221722	0.220603	0.163003	0.168846	0.223023	0.159652	0.241943	0.204844	0.212541	0.225092	0.218628	0.216864	0.207573	0.237775	0.224928	0.240629	0.208249	0.214918	0.212307	0.216069	0.220412	0.207422	0.219169	0.213407	0.227982	0.22645	0.228121	0.228426	0.162077	0.232236	0.188745	0.229667	0.221911	0.165037	0.222159	0.229545	0.216155	0.218149	0.23328	0.219012	0.204686	0.189382	0.216068	0.180075	0.240856	0.159649	0.183585	0.169487	0.180327	0.222631	0.20881	0.209892	0.156791	0.220336	0.209734	0.242101	0.229173	0.228585	0.16403	0.196163	0.225152
Jever	0.226938	0.200611	0.186794	0.186846	0.235598	0.23291	0.249195	0.219539	0.190772	0.200791	0.212446	0.166317	0.152655	0.234252	0.176614	0.20815	0.24511	0.222926	0.236381	0.235983	0.186893	0.206941	0.216085	0.190332	0.226729	0.240469	0.230915	0.230015	0.242692	0.239701	0.165518	0.183399	0.246221	0.177042	0.226109	0.241137	0.229846	0.238669	0.224987	0.192652	0.233553	0.234739	0.170401	0.24396	0.195991	0.200111	0.238147	0.251161	0.244305	0.229902	0.248845	0.211154	0.186057	0.230256	0.229362	0.183075	0.24041	0.179119	0.221543	0.193522	0.2052	0.182101	0.185961	0.159851	0.223585	0.219459	0.241312	0.241906	0.189644	0.234832	0.235528	0.204505	0.178667	0.186031	0.205985	0.194533	0.163115	0.180658	0.227952	0.192233	0.21033	0.233493	0.224944	0.231163	0.23684	0.24675	0.213759	0.178729	0.166535	0	0.244528	0.179928	0.232043	0.177702	0.23215	0.203329	0.251758	0.236424	0.16056	0.223612	0.22809	0.231816	0.243781	0.232281	0.231256	0.221683	0.185759	0.232341	0.241041	0.248824	0.22861	0.236024	0.201947	0.25217	0.232953	0.227322	0.236673	0.234658	0.226161	0.224781	0.242185	0.241959	0.254651	0.237745	0.243325	0.230695	0.233258	0.18908	0.173928	0.236697	0.166006	0.249941	0.201198	0.233951	0.238117	0.23651	0.217899	0.226611	0.244777	0.2328	0.246665	0.198062	0.212852	0.227014	0.233312	0.233033	0.212037	0.241239	0.236652	0.232288	0.231304	0.229822	0.23939	0.176638	0.233111	0.191236	0.23915	0.239668	0.15595	0.237134	0.242663	0.218529	0.230594	0.246904	0.221688	0.210441	0.196842	0.233867	0.211288	0.249667	0.153441	0.178372	0.165554	0.192806	0.237392	0.226097	0.214422	0.168978	0.244745	0.229567	0.237406	0.23435	0.24161	0.164	0.198291	0.240708
Jonsdorf	0.245219	0.229284	0.216194	0.240264	0.203758	0.166283	0.197247	0.169931	0.231053	0.209268	0.204427	0.244056	0.22189	0.203997	0.231246	0.218094	0.191427	0.16411	0.230236	0.176	0.229717	0.223073	0.235374	0.225726	0.194053	0.210358	0.202551	0.171766	0.179827	0.183436	0.246866	0.224533	0.207065	0.232473	0.214637	0.197255	0.198165	0.224186	0.199752	0.241896	0.20887	0.187754	0.227488	0.196661	0.20717	0.215242	0.181561	0.211583	0.208312	0.145645	0.187277	0.212922	0.237284	0.199283	0.165635	0.221776	0.201089	0.244773	0.163774	0.223453	0.192956	0.233021	0.226155	0.237364	0.191336	0.197371	0.230835	0.186647	0.235974	0.220424	0.191527	0.233914	0.217048	0.238315	0.232983	0.236196	0.232223	0.224604	0.225971	0.232635	0.218429	0.198627	0.201358	0.205473	0.21263	0.247745	0.205098	0.244149	0.233814	0.244528	0	0.245117	0.189339	0.239178	0.210031	0.239987	0.225488	0.210171	0.222288	0.215836	0.174899	0.186574	0.200881	0.241913	0.144262	0.156574	0.227649	0.190133	0.201106	0.229827	0.186953	0.196251	0.23036	0.170233	0.180386	0.185287	0.178855	0.190248	0.188716	0.178055	0.214329	0.208752	0.236143	0.210094	0.209719	0.212701	0.19682	0.230296	0.228235	0.189955	0.239729	0.192034	0.234628	0.195118	0.205947	0.210384	0.20442	0.169874	0.215848	0.13154	0.210516	0.234941	0.193261	0.191109	0.182879	0.17195	0.205733	0.194558	0.178772	0.182216	0.16568	0.207306	0.173467	0.238096	0.215165	0.234887	0.216113	0.220472	0.22901	0.218157	0.176875	0.200393	0.206835	0.205865	0.19739	0.224516	0.238	0.197797	0.208757	0.201328	0.224163	0.228421	0.241653	0.213996	0.169782	0.197038	0.240679	0.238475	0.221412	0.195942	0.212153	0.227751	0.194383	0.218279	0.220094	0.198003
Jürgenshagen	0.234808	0.219177	0.194693	0.188501	0.24707	0.239256	0.24598	0.219869	0.174589	0.210425	0.198749	0.191844	0.185035	0.232312	0.165262	0.195976	0.236985	0.224597	0.235709	0.239509	0.17902	0.19272	0.218822	0.205054	0.227372	0.22856	0.234991	0.238021	0.237925	0.241236	0.184815	0.192026	0.250209	0.178204	0.226424	0.244533	0.234344	0.237432	0.214687	0.199285	0.231021	0.232637	0.180481	0.23958	0.204169	0.212626	0.244191	0.24576	0.245155	0.230266	0.24797	0.208398	0.166689	0.232491	0.225031	0.157484	0.231883	0.179841	0.222955	0.181406	0.207918	0.197467	0.161638	0.168665	0.224486	0.220878	0.225457	0.243356	0.202316	0.234333	0.240863	0.212961	0.188665	0.158474	0.200514	0.199454	0.172579	0.171055	0.232726	0.198312	0.19826	0.2322	0.217246	0.237336	0.230895	0.247341	0.216774	0.185481	0.176558	0.179928	0.245117	0	0.231678	0.163728	0.227297	0.194356	0.240273	0.240148	0.168525	0.228891	0.234822	0.2372	0.242828	0.24716	0.230486	0.220755	0.206473	0.2344	0.235563	0.245047	0.232467	0.236386	0.176815	0.24282	0.22676	0.235207	0.245927	0.230347	0.233269	0.223475	0.24908	0.233848	0.248262	0.236868	0.247061	0.227555	0.241759	0.184491	0.171583	0.23427	0.185629	0.254145	0.211227	0.229142	0.234165	0.234115	0.225169	0.228687	0.240625	0.233972	0.241057	0.217117	0.216673	0.214245	0.24086	0.241296	0.215924	0.235501	0.232112	0.232736	0.230737	0.228598	0.239358	0.182649	0.23412	0.183667	0.235062	0.237337	0.177938	0.225144	0.238301	0.226998	0.236014	0.241962	0.214289	0.208654	0.163002	0.231351	0.195959	0.250101	0.182303	0.180663	0.187949	0.180652	0.230036	0.221527	0.232362	0.163431	0.239222	0.21701	0.246253	0.239738	0.243059	0.152999	0.207574	0.238412
Kemmern	0.225787	0.221122	0.219859	0.230058	0.18996	0.201778	0.162378	0.182127	0.228357	0.221168	0.217187	0.227797	0.211598	0.163664	0.207271	0.218478	0.155327	0.186536	0.222844	0.199899	0.225709	0.225503	0.243812	0.212219	0.174723	0.17381	0.156807	0.171651	0.213065	0.173361	0.226393	0.234172	0.199389	0.223124	0.190605	0.182362	0.136304	0.193542	0.207374	0.218306	0.153834	0.147841	0.216532	0.197257	0.205499	0.206773	0.169519	0.173192	0.221441	0.188299	0.204027	0.2244	0.23052	0.220556	0.193856	0.205136	0.20759	0.212901	0.186305	0.225107	0.2179	0.221143	0.221212	0.226719	0.188778	0.137858	0.210857	0.16938	0.228117	0.199582	0.187401	0.21981	0.218832	0.236019	0.230066	0.234717	0.21589	0.2047	0.18006	0.227072	0.225009	0.164991	0.192141	0.164814	0.166349	0.230642	0.222447	0.221751	0.214397	0.232043	0.189339	0.231678	0	0.227968	0.173265	0.218054	0.216512	0.196327	0.204436	0.20077	0.196643	0.200362	0.152382	0.236444	0.190605	0.190131	0.204161	0.172655	0.165333	0.212274	0.177464	0.159167	0.224887	0.210141	0.197562	0.193087	0.177716	0.16645	0.149858	0.153661	0.172479	0.17971	0.211246	0.152047	0.190512	0.209936	0.170086	0.217231	0.223842	0.18417	0.223025	0.218529	0.230115	0.116347	0.186285	0.143392	0.13874	0.194211	0.186823	0.195073	0.198332	0.22525	0.216867	0.204594	0.176521	0.199951	0.218196	0.154083	0.125875	0.213156	0.18371	0.154818	0.202788	0.215092	0.17914	0.226439	0.186309	0.194452	0.211741	0.179288	0.195318	0.149175	0.154155	0.189528	0.205848	0.238429	0.232461	0.141639	0.210456	0.158871	0.211782	0.221153	0.214092	0.220727	0.200234	0.140087	0.218945	0.21454	0.180773	0.190717	0.191807	0.229535	0.17294	0.216816	0.215179	0.152768
Kirch Kogel	0.239555	0.226311	0.203283	0.198395	0.242863	0.233156	0.244657	0.222727	0.173682	0.209344	0.201622	0.211139	0.183941	0.230746	0.167783	0.209982	0.238525	0.21868	0.222773	0.230617	0.178025	0.206524	0.220189	0.209817	0.224415	0.228137	0.234752	0.232365	0.241707	0.242275	0.175224	0.191695	0.237732	0.185088	0.232741	0.227238	0.225667	0.236276	0.222278	0.216768	0.228384	0.23297	0.186689	0.239065	0.196522	0.209822	0.235564	0.245419	0.24135	0.216303	0.243157	0.212441	0.170759	0.236474	0.218093	0.153075	0.231284	0.177614	0.219002	0.180302	0.204898	0.198213	0.165423	0.175696	0.222358	0.222817	0.220996	0.235352	0.207278	0.237111	0.234029	0.219028	0.19546	0.162216	0.212481	0.206548	0.18749	0.176223	0.232105	0.196913	0.200154	0.238393	0.219929	0.232606	0.236767	0.247876	0.21872	0.174516	0.178844	0.177702	0.239178	0.163728	0.227968	0	0.233147	0.193029	0.244699	0.226593	0.175941	0.227197	0.230539	0.233188	0.242155	0.240061	0.231746	0.21927	0.210373	0.237901	0.230615	0.249496	0.225114	0.233518	0.177254	0.245474	0.226387	0.221769	0.244213	0.231732	0.218833	0.226852	0.250162	0.243496	0.255044	0.241558	0.239437	0.224416	0.23752	0.187704	0.190041	0.238653	0.181886	0.247586	0.212735	0.228203	0.230107	0.231056	0.234344	0.222297	0.252998	0.231721	0.246094	0.215301	0.214703	0.222612	0.235405	0.234458	0.214254	0.242317	0.23114	0.233057	0.22677	0.236884	0.230661	0.180488	0.24338	0.166457	0.239686	0.233864	0.179564	0.223239	0.239596	0.227584	0.231191	0.232803	0.223947	0.203471	0.172301	0.231627	0.186834	0.249761	0.183499	0.200341	0.174284	0.191039	0.230302	0.223141	0.235448	0.161812	0.237652	0.217283	0.243817	0.236122	0.237486	0.160536	0.216279	0.236321
Klafferstraß	0.237862	0.223595	0.22684	0.233817	0.211689	0.217583	0.180596	0.201084	0.232793	0.230319	0.228726	0.235248	0.217176	0.186637	0.234126	0.235132	0.181728	0.21373	0.224003	0.218805	0.235355	0.237079	0.2366	0.207788	0.202146	0.19382	0.19286	0.185803	0.21001	0.211709	0.228582	0.22993	0.221986	0.234328	0.184488	0.210241	0.188463	0.204894	0.222525	0.226769	0.193117	0.181257	0.216503	0.21828	0.22662	0.21672	0.192778	0.184292	0.225553	0.2114	0.218596	0.22778	0.230591	0.221448	0.208276	0.226523	0.219079	0.223799	0.209707	0.238096	0.228133	0.228912	0.222904	0.232895	0.208345	0.169543	0.220069	0.213221	0.221868	0.203971	0.209795	0.222393	0.224519	0.238741	0.23112	0.246474	0.233086	0.21927	0.195491	0.231772	0.233861	0.18011	0.215794	0.176815	0.182839	0.24075	0.230187	0.231823	0.221492	0.23215	0.210031	0.227297	0.173265	0.233147	0	0.237956	0.210073	0.211157	0.217807	0.216031	0.209342	0.210253	0.165699	0.246564	0.193242	0.198925	0.218915	0.20232	0.197325	0.204636	0.197316	0.186849	0.241086	0.221334	0.221143	0.213335	0.211534	0.19129	0.193572	0.183075	0.184447	0.185255	0.211802	0.155708	0.200202	0.21778	0.199022	0.225551	0.22675	0.201686	0.230408	0.227986	0.234168	0.183865	0.185754	0.179274	0.152285	0.221249	0.184386	0.213267	0.188578	0.225627	0.226178	0.216768	0.197402	0.218178	0.229788	0.16924	0.170151	0.215613	0.196763	0.197094	0.230071	0.222435	0.183537	0.241018	0.199541	0.211714	0.217311	0.205191	0.204322	0.161563	0.164122	0.212891	0.229515	0.226541	0.2374	0.185462	0.225297	0.201586	0.226286	0.221542	0.227124	0.223676	0.204167	0.173944	0.235442	0.225177	0.20469	0.204239	0.198918	0.233782	0.212417	0.223966	0.220234	0.178589
Klein Rossau	0.225225	0.231789	0.213671	0.209487	0.24519	0.227393	0.241912	0.209319	0.173577	0.216891	0.203094	0.21047	0.206503	0.233982	0.197819	0.199007	0.233678	0.221864	0.226691	0.226542	0.168525	0.210513	0.235214	0.22752	0.203828	0.233686	0.229509	0.235329	0.244161	0.232473	0.203511	0.211315	0.242097	0.191577	0.243045	0.234311	0.219846	0.240545	0.209234	0.226574	0.225179	0.217514	0.199229	0.235843	0.177515	0.215507	0.23808	0.251477	0.228449	0.219522	0.241906	0.20883	0.18844	0.242452	0.2164	0.187933	0.234418	0.194237	0.212837	0.160379	0.190309	0.204908	0.193642	0.198328	0.210883	0.230644	0.22731	0.224867	0.219428	0.249823	0.214692	0.23192	0.204895	0.19047	0.223772	0.203488	0.192997	0.183837	0.228729	0.221291	0.195886	0.235202	0.221371	0.237758	0.237245	0.236894	0.208962	0.196226	0.198079	0.203329	0.239987	0.194356	0.218054	0.193029	0.237956	0	0.25123	0.220758	0.193196	0.211252	0.227057	0.222055	0.239057	0.225243	0.223984	0.213065	0.211845	0.233473	0.230831	0.256084	0.214014	0.224247	0.169841	0.238304	0.212478	0.219175	0.229784	0.220389	0.213365	0.223963	0.245942	0.237281	0.255803	0.234529	0.233224	0.222944	0.233875	0.19401	0.208661	0.233462	0.200229	0.246643	0.229685	0.224932	0.236274	0.228024	0.234456	0.211052	0.255354	0.22805	0.251791	0.222355	0.204397	0.233643	0.22365	0.228733	0.198612	0.233504	0.225891	0.223992	0.231748	0.233083	0.225419	0.196833	0.247694	0.192282	0.231573	0.219284	0.193424	0.224895	0.24012	0.229679	0.235981	0.225761	0.214737	0.216436	0.205532	0.229882	0.181756	0.239875	0.191666	0.196171	0.19603	0.205478	0.241189	0.222447	0.229301	0.200545	0.2276	0.230902	0.243285	0.227304	0.239905	0.187191	0.208907	0.233234
Kleinbottwar	0.235957	0.234984	0.237734	0.237435	0.213776	0.224071	0.188389	0.206732	0.24522	0.24012	0.235254	0.256953	0.24697	0.164519	0.243538	0.243022	0.192589	0.210238	0.232999	0.222961	0.252023	0.250721	0.236445	0.233635	0.211627	0.192882	0.201999	0.207731	0.208893	0.208128	0.248951	0.245194	0.208916	0.236845	0.207299	0.198287	0.201122	0.209444	0.220103	0.240983	0.211891	0.194573	0.248702	0.208082	0.240245	0.220507	0.218923	0.21977	0.233751	0.224205	0.224504	0.242276	0.237535	0.225765	0.210799	0.243797	0.239734	0.238587	0.203813	0.243005	0.23998	0.25482	0.235967	0.25104	0.21059	0.204998	0.205559	0.207268	0.243529	0.216833	0.21355	0.237277	0.238491	0.2503	0.232174	0.268297	0.25067	0.239299	0.20752	0.248729	0.233789	0.177166	0.212813	0.180136	0.181225	0.239849	0.240079	0.246461	0.243861	0.251758	0.225488	0.240273	0.216512	0.244699	0.210073	0.25123	0	0.214532	0.236968	0.227626	0.210828	0.222682	0.21123	0.252945	0.206	0.209421	0.243719	0.207608	0.205237	0.226617	0.199697	0.197	0.246485	0.22822	0.23151	0.225341	0.21269	0.203128	0.191199	0.202597	0.219339	0.188922	0.207322	0.210542	0.20585	0.235036	0.202986	0.245829	0.245198	0.233673	0.247687	0.222855	0.251816	0.217905	0.208608	0.199308	0.201618	0.223653	0.224894	0.21965	0.213446	0.237775	0.230463	0.219281	0.203825	0.222028	0.229081	0.209222	0.209417	0.227604	0.211253	0.215518	0.228393	0.246489	0.184588	0.241102	0.205361	0.221739	0.24763	0.217802	0.209708	0.203843	0.212648	0.192518	0.231998	0.235908	0.244188	0.199305	0.235894	0.211269	0.240001	0.248774	0.240613	0.238136	0.21857	0.211958	0.249065	0.247912	0.218556	0.227691	0.186224	0.223988	0.213708	0.238029	0.253411	0.196059
Kruft	0.202238	0.220893	0.227822	0.226505	0.189371	0.204007	0.191286	0.190865	0.225473	0.209835	0.22149	0.242275	0.232545	0.19885	0.229094	0.223668	0.19426	0.203529	0.185339	0.202467	0.216922	0.237609	0.23496	0.228797	0.174267	0.197965	0.178587	0.182829	0.207123	0.170982	0.238405	0.236124	0.19565	0.2269	0.224766	0.172217	0.172483	0.217638	0.209248	0.240142	0.189414	0.177709	0.228435	0.191597	0.212241	0.20299	0.186881	0.216159	0.216846	0.202705	0.215777	0.220471	0.234964	0.218335	0.198867	0.222826	0.218206	0.23671	0.193251	0.210716	0.211278	0.226594	0.235583	0.239462	0.176411	0.204466	0.189243	0.176401	0.230656	0.220463	0.174398	0.234546	0.225782	0.239808	0.235677	0.237332	0.233031	0.213311	0.203419	0.230835	0.217425	0.197092	0.203091	0.198502	0.204928	0.195816	0.216019	0.230483	0.22412	0.236424	0.210171	0.240148	0.196327	0.226593	0.211157	0.220758	0.214532	0	0.219979	0.179232	0.203997	0.203175	0.21057	0.213338	0.204544	0.19492	0.220381	0.183903	0.168173	0.227909	0.158458	0.18159	0.232746	0.208886	0.205129	0.206169	0.181471	0.17798	0.159219	0.201205	0.227149	0.200874	0.227055	0.202171	0.196708	0.198406	0.181639	0.225009	0.239148	0.207241	0.236679	0.220262	0.24038	0.189525	0.206395	0.185515	0.202843	0.192918	0.219234	0.200508	0.224608	0.229974	0.208847	0.211758	0.1748	0.207303	0.210761	0.203213	0.19905	0.21733	0.202374	0.20929	0.211536	0.233585	0.202885	0.228779	0.207252	0.154734	0.238499	0.195031	0.204822	0.208795	0.210867	0.183537	0.212097	0.228681	0.238401	0.183676	0.208278	0.199409	0.224049	0.23538	0.232263	0.224558	0.206683	0.199853	0.223658	0.234105	0.192288	0.207468	0.204215	0.200178	0.179857	0.225896	0.226236	0.192231
Kuhstedt	0.221173	0.195682	0.182437	0.174019	0.217664	0.216933	0.22696	0.206431	0.180294	0.192087	0.1957	0.169326	0.170689	0.219883	0.165481	0.191761	0.227794	0.213409	0.217508	0.224154	0.179371	0.165241	0.206736	0.195378	0.211966	0.218998	0.208886	0.206533	0.232988	0.215135	0.157376	0.167449	0.227158	0.14585	0.228848	0.219688	0.20904	0.235136	0.207955	0.20667	0.221558	0.218929	0.150383	0.226709	0.185225	0.192096	0.217593	0.233686	0.235511	0.208012	0.224899	0.189127	0.180888	0.217176	0.212082	0.160086	0.219343	0.151152	0.207546	0.187091	0.194661	0.173981	0.170306	0.146903	0.203956	0.214162	0.211894	0.215305	0.186998	0.232484	0.211009	0.209347	0.161322	0.184373	0.2029	0.192337	0.162263	0.142094	0.217521	0.1958	0.190733	0.213851	0.194608	0.21603	0.22521	0.231785	0.200708	0.173065	0.138269	0.16056	0.222288	0.168525	0.204436	0.175941	0.217807	0.193196	0.236968	0.219979	0	0.210595	0.223049	0.223907	0.223092	0.23032	0.210979	0.206453	0.187203	0.207133	0.213681	0.235511	0.20666	0.219958	0.185094	0.227906	0.206769	0.21901	0.21468	0.213042	0.199584	0.209482	0.235334	0.222086	0.241601	0.222932	0.228339	0.212615	0.212665	0.151109	0.161559	0.211312	0.149747	0.235325	0.20546	0.204297	0.21524	0.222647	0.216474	0.203218	0.237639	0.216057	0.232519	0.20373	0.208681	0.202172	0.205754	0.222356	0.195576	0.217915	0.212281	0.221548	0.219096	0.222391	0.219953	0.151915	0.231019	0.186268	0.22738	0.217824	0.159667	0.216615	0.22558	0.210048	0.213161	0.221018	0.207103	0.19492	0.185426	0.212587	0.172857	0.231254	0.139227	0.170537	0.164234	0.166327	0.219815	0.206464	0.221615	0.148527	0.217435	0.202211	0.221528	0.224302	0.223032	0.152268	0.198659	0.22138
